morphology_ori_syn,morphology_feedback,morphology_exclude,distribution_ori_syn,distribution_feedback,distribution_exclude,measure_ori_syn,measure_feedback,measure_exclude,severity_ori_syn,severity_feedback,severity_exclude,comparison_ori_syn,comparison_feedback,comparison_exclude,emerge_ori_syn,emerge_feedback,emerge_exclude,no change_ori_syn,no change_feedback,no change_exclude,improved_ori_syn,improved_feedback,improved_exclude,worsened_ori_syn,worsened_feedback,worsened_exclude,reposition_ori_syn,reposition_feedback,reposition_exclude,resolve_ori_syn,resolve_feedback,resolve_exclude,technical limitation_ori_syn,technical limitation_feedback,technical limitation_exclude,other source_ori_syn,other source_feedback,other source_exclude,past hx
normal,normal,anterior,"focal, focus","focal, focus",dense,"small, low, smaller, lower","small, low, smaller, lower",32 cm above the carina,"milder, mild","milder, mild, mildly",enlarged,left greater than right,left greater than right,slightly,"newly, new","newly, new, newly occurred, not present on the previous examination",consistent,"unaltered, unchanged","unaltered, unchanged, constant, unchanged from prior, persistent unchanged, remains unchanged, unchanged from previous examination, no change, no changes, no relevant change, no relevant changes, not change, not changed, no significant interval change, no interval changes, no interval change, no other change, without change, no gross interval change",hyperinflated,"improved, improving, better, improvement, improve","improving, better, improvement, improve, regression, improved, regressed, resolve, improve",further,"increased, increase, increasing","increased, increase, increasing, interval increase",increased on the right,"withdrawn, retracted, pullback, pulled back",pulled back,need to be repositioned,"resolves, resolution, resolved, resolve, resolving",now appears normal,until resolution,limited study,"out of view, out of field of view, off the film, distal end is beyond the view of radiograph, excluded from the field of view, terminates outside the field of view, incompletely imaged, partially imaged, not included in the image, extending off film, tip out of the field of view, tip projects off the inferior borders of the film, right costophrenic angle is excluded from the field of view, extends off the film, passes out of view, edge of the film, not fully included on the image, partially excluded, tip is out of the image, not included in the field of view, distal end is off the radiograph view, excluded from the examination, not central, left cp angle is excluded, not fully included on the images, off the radiograph, tip out of view of the radiograph, distal end is beyond the field of view, out of the field of view, obscures the left apex, out of view of the radiograph, extending out of the field of view, not entirely included on the current examination, tip off the inferior field of view, field of view, off the inferior borders of the film, outside of the field of view, excluded from the field of view on the lateral view, excluded from view, incompletely visualized, excluded from the film, radiograph does not include the lower abdomen, obscuring upper chest, excluded from the study, distal end is out of the radiographic view, tip off the inferior borders of the film, upper part of the chest missing, off the inferior margin of the film, not clearly delineated on this exam, obscures the upper lungs, incompletely visualized on the current examination, excludes lateral right lower chest, distal end is beyond the radiographic view, tip is not visualized, below the field of view, obscure the lower portion, tip not seen, tip not identified, not identified on this film, arm projecting over, not included on the images, excluded on the frontal view, obscures portions of the left hemi thorax, off film, not included on the image, partially included, not entirely included on the study, esophageal catheter tip out of view, distal aspect not well seen, obscures the lower half of the left chest, not included on the film, tip is excluded from view, excluded, excluded from this examination","not available for comparison, no prior chest radiographs available for review, compared to the prior examination, no prior studies available for comparison, absence of previous images, previous xray not interpretable, no prior examinations for comparison, no prior, compared to the prior radiograph, study does not include a dedicated rib series, no previous images, lack of comparison studies",ct,"ct, ct scanning, ct scan, ct examination",outside film,"known, recent, chronic, recurrent, prior, history of, longstanding, previous, multiple prior, three months ago, six days ago, past 24 hr, 3 days ago, past two days, 2 days ago, status post, secondary to, diagnosed, clinical history, treated for, post, s/p"
linear,"linear, linearly, platelike, linearly oriented, small linear, linear structures",appearance,"diffuse, disseminated","diffuse, disseminated, diffusely",throughout,"larger, large","larger, large",15 cm above the carina,moderate,"moderate, moderately",decreased,right greater than left,right greater than left,slight,acute,acute,hyperinflated,stable,"not substantially changed, not appreciably changed, without appreciable change, not changed appreciably, no appreciable change, no significant superimposed change, no major change, not really changed much, not significantly changed, no significant change, no substantial change, no significant interval change, not significantly different, no substantial difference, grossly unchanged, relatively unchanged, mostly unchanged, largely unchanged, essentially unchanged, presumably unchanged, no increase, no substantial interval increase, no evidence of significantly increased, no interval development or increase, no interval increase, no visible change",not well seen,"decreased, decreasing, reduction, diminished, decrease","decreased, decreasing, reduction, diminished, decrease, reduce, interval decrease",incomplete,"worsening, worsened","worsening, worsened, interval worsening, worse, has worsened, worsened in the interval, exaggerated, exacerbation, have worsen",more coalescent on the right,"repositioning, repositioned, reposition",advanced distally,should be withdrawn 25 cm for optimal placement,"withdrawn, removed, removal",normalized,residual,"not well evaluated, not well assessed","limiting evaluation, limits assessment, difficult to assess, evaluation is limited, limited assessment, cannot be assessed, suboptimally assessed, not well evaluated, difficult to discern, difficult to visualize, interpretation difficult, not well appreciated on the current study, radiographically indeterminate, difficult to detect pneumothorax, below the threshold of detection on chest radiograph, difficult to exclude, subtle change would be difficult to detect, difficult to compare size, not precisely seen, not visualized adequately on this film, suboptimal to assess, distal tip not well evaluated, tip not clearly visualized, incompletely evaluated due to overlying anterior rib, not optimally seen, limited in the determination of the exact termination point, limits evaluation of the lungs, poorly imaged, tip not completely identified, overlap with rib limits this assessment, not visualized on this study, not clearly localized on this single frontal radiograph, rotated somewhat limiting the evaluation, difficult to assess on plain radiograph, difficult to evaluate, not well evaluated on this single frontal projection, limiting evaluation of the lung bases and heart size, not as well evaluated on the lateral view, limited study, suboptimal to assess complete resolution, limiting evaluation of the lung bases, tip not well visualized, not well seen, less well evaluated, assessment is limited, hard to assess because of adjacent right pleural effusion, seen only on the frontal view, poorly seen due to technique, not well seen due to technique, poorly assessed, not well assessed, not well characterized on this radiographic examination, not visualized, limiting the evaluation, not well visualized on this study, suboptimal, not well evaluated due to overlying opacity, not visualized on prior radiographs, precludes assessment, tip not clearly seen on the current examination, cannot be assessed on the current examination, difficult to compare with prior images, side port not clearly identified, not well assessed with this technique, somewhat obscured, difficult to assess given severe chest cage deformity by virtue of scoliosis, assessment of the left apex is slightly obscured, suboptimal due to overlying soft tissues, limited by underpenetration, limits evaluation of the right mid and lower lung, subtle change would be difficult to detect based on a portable film, limiting evaluation of the lung parenchyma, limited due to extensive underlying metastatic burden, without clear correlate on the frontal view, best seen on the lateral view, partially obscured by cardiac motion, without clear correlate on frontal radiograph, degrades the quality of the lateral view, better appreciated on the lateral than on the frontal radiograph, sensitivity is low on routine chest radiography, partially evaluated, partially obscure the view, exaggerated by low lung volumes and technique, suboptimal due to patients overlying arm, limited examination due to extremely low lung volumes, limitation in mind, not well localized on this single frontal radiograph, incompletely evaluated, potentially in part technical, not appreciated on the lateral view, identified on the lateral view, not seen on ap view, lateral view is limited, obscured by the cardiomegaly and pleural effusion","repeat fully upright, lateral view could be obtained, dedicated rib series is suggested, follow up chest radiographs should be obtained, suggest dedicated rib series, ct scanning is indicated, recommend repeat dedicated ap and lateral views, additional lateral chest radiograph may be helpful, best evaluated with an upright chest radiograph when feasible, confirmed or excluded by standard pa and lateral radiographs, absence of lateral view, lateral view is mandatory, dedicated rib series scan be performed, standard placement, upright views are sensitive, oblique views would be necessary, position confirmation, pa and lateral may offer additional detail, absence of a lateral view, lordotic view, dedicated pa and lateral suggested, another view, should be further advanced, no lateral radiograph was performed, erect on the earlier study today, portably, not seen on portable, consider decubitus views, single frontal view only, lateral view recommended, confirmation with a repeat pa view with nipple markers is recommended, left lateral views, pa/lateral chest radiographs to confirm, no repeat lateral view, supine exam, essential component to evaluate, for further evaluation and localization, ap portable view, single portable frontal upright view, ap upright chest film, given the technique, better assessment, without a lateral view, a view of the upper abdomen must be obtained using abdominal technique",previous radiograph,"chest ct, ct chest, recent chest ct, concurrent chest ct, prior ct chest, chest ct scans, most recent chest ct",previous studies,
patchy,patchy,subsegmental,multifocal,multifocal,similar,"enlargement, enlarged, expanded","enlargement, enlarged, expanded",5 cm above the carina,"minor, smaller, small, low","minor, smaller, small, low",increased,right more than left,right more than left,lower lung,chronic,"chronic, long standing, longstanding",multilevel,again,"little changed, little change, minimally changed, minimal change, minimal interval change, little overall change",interval,"interval improved, interval improvement","interval improved, interval improvement",rapid,"progression, progressed, progressing","progression, progressed, progressing, progressive, interval progression",slightly more pronounced on the right,advanced,"withdrawn, retracted, pullback, pulled back, retracting, retraction, pulled",could be advanced 2 cm for optimal placement,"clearance, cleared, clearing","resolves, resolution, resolved, resolve, interval resolution, completely resolved, complete resolution",since radiograph,difficult to assess,"single frontal view, nondedicated exam, portable examination, supine radiograph, lordotic technique, motion artifact, underpenetration, rotated positioning, ap view, technically limited examination, supine technique, conventional radiographs, single view, difference in technique, low lung volumes, underpenetrated technique, limitations of the study technique, ap projection, motion ","if warranted clinically, for further evaluation, for further assessment, to exclude a left pneumothorax","prior study, prior studies","ct torso, ct torso examination, torso ct, ct of the torso",prior study,
"nodule, nodular",nodular,consistent with neoesophagus,hazy,widespread,nodular,normal,normal,45 mm above the carina,minimal,"minimal, slight, little, minimally",residual,larger on the left side,larger on the left side,substantially,"evolution, developed, evolving, developing, development","evolution, developed, evolving, developing, development",elevated pulmonary venous pressure,"persisting, persists, persisted, persist, remain, remains, persistent, persistence","stable, stability, stably",relatively,"somewhat better, slightly improved, somewhat improved","somewhat better, slightly improved, somewhat improved, slight improvement",interval,"slightly increasing, slightly increased, somewhat increased","slightly increasing, slightly increased, somewhat increased, minimally increased, increased slightly, increasing slightly, slight increase, mildly increasing, mildly increased, slight interval increase, potentially slightly increased",worsened in the right lung,replaced,"repositioning, repositioned, reposition, readjustment",should be repositioned,"residual, residua","withdrawn, removed, removal, interval removal, withdrawn completely",from prior pneumonia,out of field of view,"limited due to patients body habitus, poor inspiratory effort, patient positioning, patients positioning, patient is rotated with respect to the film, accounting for patient factors, differences in positioning, limited by patients rotation, differences in patient position, significant patient rotation, scoliosis, patient in upright position, patient in supine position, overlying, slight leftward rotation, varying degrees of rotation, patient in the upright position, could be accentuated by positioning and relatively low inspiratory effort, supine film, patient position, positioning of the patient, not fully upright film, artifact secondary to patient rotation, rotation, patient is rotated, secondary to positioning, poor patient positioning, due to recumbency, patient rotation, supine positioning, body habitus, patient positioning/rotation, better inspiratory effort may help, chin is down on the radiograph, patient is somewhat rotated, patient is rotated to the right, related to patient rotation, patient body habitus, semierect portable, due to patients body habitus and by rotation of the patient, oblique positioning, limited by patient rotation, positional differences may contribute, suspected differences in positioning, more optimal inspiratory effort, positional differences due to patients rotation, patients chin overlies, blurred by the patients chin, left lung apex is obscured by a flexed chin","should be retracted 2 cm to place in the low svc, should be withdrawn for standard positioning, should be advanced for more standard position, could be advanced by approximately 5-10 cm, consider pulling back by 3 cm for optimal placement","radiographs, radiograph","prior ct, recent ct",radiograph,
"calcified, calcification","calcified, heavily calcified",plaques,widespread,patchy,consolidative,borderline,borderline,26 cm from the carina,severe,"severe, severely",very,more prominent on the left,more prominent on the left,increased today relative to,"previous, old","old, remote",organizing,similar,"again, still, again noted, again seen, again visualized, still present, redemonstrated, as seen previously, again appreciated, as on the prior occasion",stably enlarged,"minimally improving, minimally improved, minimally better","minimally improving, minimally improved, minimally better",slightly,minimally increased,"slightly worsening, slightly worsened, slightly worse, minimally worsened, minimally worse, worsened slightly, slight worsening, slight interval worsening, slightly exaggerated, slight deterioration",exclue,"pulled back somewhat, pulled back slightly",advanced,no repositioning,"near resolution, nearly resolved, almost resolved","clearance, cleared, clearing, cleared up, complete clearing",residua,off the film,"accentuated by ap technique and low lung volumes, exaggerated by portable technique, artifact due to overlying soft tissues, limited evaluation due to motion artifact, overlay by multiple metallic devices, differences in technique, could be projectional, underpenetration from overlying body habitus, blurred due to respiratory motion, potentially projectional, limited scan, limited evaluation due to respiratory motion, overlying motion artifact, given lordotic technique on this examination, partially obscured by the overlying battery pack, accounting for patient and technical factors, differences in technique and projection, obscured by patients chin, possibly obscured by the pacemaker generator, obscured due to overlying soft tissues, small differences in technique, allowing for technical differences, differences in technique and inspiration, line is obscured by overlying pacer leads, obscured on this image, limited due to motion despite repeat image, tip is obscured by overlying pacer leads, obscured, given limitation of low lung volumes and portable technique, difference in radiographic technique, symmetric and not rotated image acquisition, partially obscured by the overlying pacemaker generator, may be due to overlying soft tissue, differences in positioning and technique, artifactual due to rightward rotation, overlap of the pacer wires, tip is obscured by spinal hardware, obscuration by the left hemithorax opacification, underpenetration of soft tissues, partially obscured, accentuated by portable technique, likely exaggerated due to technique and positioning, obscured by overlying monitoring lines, superimposed on the dialysis catheter, limitations of technique, limited by overlying trauma board, differences in technique and rotation of the patient, differences in technique and patient position","lateral view, pa and lateral, decubitus films, single frontal view, nondedicated exam, portable examination, supine radiograph, lateral view, pa and lateral, decubitus films, ap view, conventional radiographs, fluoroscopic control, radiographic examination, portable single view examination, portable ap upright, ap frontal and left lateral view, single portable view, ap technique, dedicated shoulder films can further characterize, portable chest examination, lordotic positioning, portable technique, ap upright portable, supine study, projection, difference in modality, technique
",chest ct,cta,preceding portable examination,
"streak, streaky, streaks","streak, streaky, streaks",overall,confluent,scattered,vague,tiny,"tiny, miniscule",5 cm from the carina,"slight, little","slight, little, slightly",low,more prominent on the right,more prominent on the right,compared to prior,"recurrent, recurred, recurrence","recurrent, recurred, recurrence, return, reappearance",early stages of healing,no new,"consistent, consistently, constant, remain present, continued, continues, continue, persisting, persists, persisted, persist, remain, remains, persistent, persistence, persistently, remain present, consistently, continued, continues, continue, persisting, persists, persisted, persist, remain, remains, persistent, persistence, persistently, still persists",redistribution,stable,"slightly decreased, minimally decreased",partial,interval increase,"decreasing, decreased",further,"retracting, retraction",replaced,can be advanced 2 cm for optimal placement,"almost completely resolved, near completely resolved, nearly completely resolved","almost completely resolved, near completely resolved, nearly completely resolved, almost complete resolution",remnant,single frontal view,,"fluoroscopic control, repeat film taken before use","prior radiograph, prior radiographs","chest cta, cta of the chest",previous image,
"tortuous, tortuosity","tortuous, tortuosity, slightly tortuous, mild tortuosity",peribronchial,extensive,subsegmental,streaky,"decrease, decreasing, diminished, decreased","decrease, decreasing, diminished, decreased, reduced",45 mm from the carina,"substantial, significant","substantial, significant, substantially",in the right upper lobe than the left,larger on the right side,larger on the right side,before its junction with the superior vena cava,recent,recent,post,chronic,"relatively similar, similar to that seen on, similar as it was before, as before, grossly similar, similar, similar to priors, similar in size from the previous study, similar study of the prior day, similar to prior study, similar to multiple prior exams, similar compared to the study from, similar prior exams, similar to the previous exam, similar to the prior exam, similar to prior examinations, as on prior study, as on the next previous study, similar to the most recent prior, similar in appearance compared to prior, similar to, similar to previous examination, similar to prior, similar to prior exam, similar to the prior study, similar as on the preceding, similar compared to prior,",no larger today,slightly decreased,"significantly improved, slight interval improvement, substantially improved",substantially,slightly worse,"slightly worsening, slightly worsened",now,placement,"pulled back somewhat, pulled back slightly, partially withdrawn",could be advanced 2 cm,interval resolution,"no longer seen, no longer visualized, no longer, no longer present, no longer clearly visible, not longer visualized, no longer apparent, no longer any, no longer visible, not clearly seen, no longer appreciated",total,evaluation is limited,,"assessment of the cardiomediastinum was limited, limited exam, limits evaluation of the cardiac and mediastinal contours","previous examination, previous exam, previous examinations","prior chest ct, prior chest cts",ap view,
stable,"stable, unchanged, constant, grossly stable",extensive,patchy,"peripheral, irregular peripheral",predominantly basal,"increase, increased","increase, increased",4 cm above the level of the carina,mildly enlarged,mildly enlarged,left,slightly larger,slightly larger,in comparison with study of,early,"early, early developing, beginning, very early",three months ago,not significantly changed,"no additional newly appeared, no new areas, no new area, no new gross, no new, no newly, no newly occurred, no newly appeared",most recently,significantly improved,resolving,short period,"decreasing, decreased","more prominent, more conspicuous, more pronounced, more apparent, more evident, more marked, even more conspicuous",decompensated,coursing cephalad,"placement, interval placement",could be withdrawn approximately 8 cm,"no longer seen, no longer visualized",complete,drained,off film,,no corresponding abnormality on the lateral view,"chest radiograph, chest radiographs",prior,ct with contrast is recommended,
"round, rounded","round, rounded",focal,scattered,interstitial,hazy,mildly enlarged,massive,16 cm above the carina,mild to moderate,"mild to moderate, mildly to moderately, mild to moderately",widened,larger on the right,larger on the right,compared to the most recent prior study,interval,interval,increase,"stability, constant","unchanged positions, unaltered position, unchanged position, same position, unchanged in position, remain in place, constant position, not migrated",previously questioned,slight interval improvement,markedly improve,generally,"slightly worsening, slightly worsened","slightly bigger, slightly larger",since,now terminates,coursing cephalad,need to be advanced,completely resolved,"almost complete, near complete",recoverable,no prior,,"chin and neck, related to technique, technical differences, limitations of this study technique, distal tip cannot be traced further due to the overlying structures",lateral view,"abdominal ct, ct abd, ct abdomen",exam from two days prior,
"heterogeneous, heterogenous","heterogeneous, heterogenous",nodule,subsegmental,generalized,similar areas,5 cm,"top normal, upper limits of normal, upper limits normal, upper range of normal",39 cm above the carina,trace,trace,residual,right worse than left,right worse than left,not returned to normal,interval development,"interval development, interval appearance",relatively hyperinflated,"no change, no changes",longstanding,comparison is limited,substantially improved,clearing,resolution,more prominent,more,hyperinflated,less kinked,now terminates,less kinked,interval removal,removal of,no reaccumulation,limited assessment,,,ct torso,"abdomen/pelvis ct,, ct abdomen/pelvis, ct abdomen and pelvis",followup radiographs,
