raw_data,GT Entity (low-level),Cat (normalized obs.),super category,super super cat,Final_cat
abdominal hernia,hernia,hernia,,,CF
abscess,abscess,abscess,infection,pathophysiologic finding,CF
abscess formation,abscess,abscess,infection,pathophysiologic finding,CF
achalasia,achalasia,achalasia,,,CF
acute cardiopulmonary disease,cardiopulmonary disease,cardiopulmonary disease,,,CF
acute heart failure,acute heart failure,acute heart failure,,,CF
acute pulmonary edema,pulmonary edema,pulmonary edema,,,CF
adenocarcinoma,adenocarcinoma,adenocarcinoma,,,CF
adenocarcinoma of the esophagus,adenocarcinoma,adenocarcinoma,,,CF
adenopathy,adenopathy,adenopathy,,,CF
alveolar edema,alveolar edema,alveolar edema,fluid disorder,pathophysiologic finding,CF
alveolar hemorrhage,hemorrhage,hemorrhage,,,CF
amio-induced lung injury,amio-induced lung injury,amio-induced lung injury,,,CF
amiodarone lung toxicity,amiodarone lung toxicity,amiodarone lung toxicity,,,CF
amiodarone-induced lung toxicity,amiodarone-induced lung toxicity,amiodarone lung toxicity,,,CF
apical hematoma,hematoma,hematoma,,,CF
asbestos-related pleural calcifications,asbestos-related pleural calcifications,asbestos-related pleural calcification,degenerative disorder,pathophysiologic finding,CF
aspergilloma,aspergilloma,aspergilloma,,,CF
asymmetrical edema,edema,edema,fluid disorder,pathophysiologic finding,CF
bochdalek hernia,bochdalek hernia,bochdalek hernia,,,CF
bone island,bone island,bone island,bone,anatomy,CF
bronchial encasement,encasement,encasement,,,CF
bronchial occlusion,occlusion,occlusion,,,CF
bronchial rupture,rupture,rupture,,,CF
bronchiectasis,bronchiectasis,bronchiectasis,,,CF
bronchiectatic changes,bronchiectatic changes,bronchiectatic change,,,CF
calcified granuloma,granuloma,granuloma,proliferation,pathophysiologic finding,CF
calcified granulomas,granulomas,granuloma,proliferation,pathophysiologic finding,CF
calcified lung granulomas,granulomas,granuloma,proliferation,pathophysiologic finding,CF
calcified pulmonary granulomas,granulomas,granuloma,proliferation,pathophysiologic finding,CF
cardiac congestion,congestion,congestion,,,CF
cardiac decompensation,cardiac decompensation,cardiac decompensation,,,CF
cardiac failure,cardiac failure,cardiac failure,,,CF
cardiac tamponade,cardiac tamponade,cardiac tamponade,,,CF
cardiogenic pulmonary edema,cardiogenic pulmonary edema,cardiogenic pulmonary edema,fluid disorder,pathophysiologic finding,CF
cardiopulmonary disease,cardiopulmonary disease,cardiopulmonary disease,,,CF
cavitary pneumonia,pneumonia,pneumonia,respiratory disorder,pathophysiologic finding,CF
central adenopathy,adenopathy,adenopathy,,,CF
central edema,edema,edema,fluid disorder,pathophysiologic finding,CF
central pulmonary vascular congestion,pulmonary vascular congestion,pulmonary vascular congestion,,,CF
central vascular congestion,vascular congestion,vascular congestion,,,CF
central venous congestion,central venous congestion,central venous congestion,,,CF
centrilobular emphysema,centrilobular emphysema,centrilobular emphysema,displacement,pathophysiologic finding,CF
