gpt_result,location,detail1,detail2,UMLS_normalized,category,super category,super super category
2 cm above the carina,carina,2 cm above,,Structure of carina,Carina,Airways,Respiratory System
3 cm above the carina,carina,3 cm above,,Structure of carina,Carina,Airways,Respiratory System
4 cm above carina,carina,4 cm above,,Structure of carina,Carina,Airways,Respiratory System
4 cm above the carina,carina,4 cm above,,Structure of carina,Carina,Airways,Respiratory System
5 cm above the carina,carina,5 cm above,,Structure of carina,Carina,Airways,Respiratory System
5 cm from the carina,carina,5 cm from,,Structure of carina,Carina,Airways,Respiratory System
6 cm from the carina,carina,6 cm from,,Structure of carina,Carina,Airways,Respiratory System
abdomen,abdomen,,,Abdomen,Abdomen,Abdomen,Abdominal Structures
abdominal,abdominal,,,Abdomen,Abdomen,Abdomen,Abdominal Structures
abdominal aorta,abdominal aorta,,,Abdominal aorta structure (C0003484),Vessels,Abdomen,Abdominal Structures
above carina,carina,above,,Structure of carina,Carina,Airways,Respiratory System
above right hemidiaphragmatic contour,right hemidiaphragmatic contour,above,,Right hemidiaphragm,Right hemidiaphragm,Diaphragm,Abdominal Structures
above the carina,carina,above,,Structure of carina,Carina,Airways,Respiratory System
above the carinal,carinal,above,,Structure of carina,Carina,Airways,Respiratory System
above the clavicle,clavicle,above,,Bone structure of clavicle,Right clavicles,Clavicles,Musculoskeletal System
above the clavicles,clavicles,above,,Bone structure of clavicle,Right clavicles,Clavicles,Musculoskeletal System
above the diaphragm,diaphragm,above,,Entire diaphragm,Diaphragm,Diaphragm,Abdominal Structures
above the esophagogastric junction,esophagogastric junction,above,,Esophagogastric Junction,,,
above the level of the carina,carina,above,,Structure of carina,Carina,Airways,Respiratory System
above the level of the diaphragm,diaphragm,above,,Entire diaphragm,Diaphragm,Diaphragm,Abdominal Structures
above the minor fissure,minor fissure,above,,Minor fissure,Fissure of lung,Lung,Respiratory System
acromioclavicular joints,acromioclavicular joints,,,Acromioclavicular joint structure,,,
acromioclavicular joints bilaterally,acromioclavicular joints bilaterally,,,Acromioclavicular joint structure,,,
adjacent,adjacent,,,-,,,
adjacent lung,lung,adjacent,,Lung,Lung,Lungs,Respiratory System
adjacent mediastinum,mediastinum,adjacent,,Mediastinum,,,
adjacent to biapical thickening,biapical,adjacent,,Apical zone of lung,Bilateral lung,Lungs,Respiratory System
adjacent to right hilus,right hilus,adjacent,,right hilum,Hilar,Lung region,Respiratory System
adjacent to right humeral,right humeral,adjacent,,Right humerus,,,
adjacent to the mediastinum on the left,left mediastinum,adjacent,,Mediastinum,,,
adjacent to the right hemidiaphragm,right hemidiaphragm,adjacent,,Right hemidiaphragm,Diaphragm,,Abdominal Structures
and third ribs on the left,ribs on the left,third,,Bone structure of rib,Ribs,,Musculoskeletal System
anterior,anterior,,,-,,,
anterior chest,chest,anterior,,Chest,,,
anterior chest wall,chest wall,anterior,,Chest wall structure,Chest,,
anterior lateral left-sided,anterior lateral left,,,-,,,
anterior left fourth rib,left rib,anterior fourth,,Bone structure of rib,Left Ribs,Ribs,Musculoskeletal System
anterior left hemidiaphragm,anterior left hemidiaphragm,,,Structure of left hemidiaphragm,Diaphragm,,Abdominal Structures
anterior mediastinal,anterior mediastinal,,,Mediastinum,,,
anterior second right rib interspace,right rib interspace,anterior second,,Bone structure of rib,Right rib,Ribs,Musculoskeletal System
anterior upper lumbar vertebral bodies,lumbar vertebral bodies,anterior upper,,Structure of body of lumbar vertebra,,,
anteriorly,anteriorly,,,-,,,
anterolateral left second rib,left rib,anterolateral second,,Bone structure of rib,Left Ribs,Ribs,Musculoskeletal System
